id,name,description,meal_type,supermarket,calories,protein_g,carbs_g,fat_g,fiber_g,ingredients,instructions,difficulty,cost,tags,prep_time_min,servings
"snack-001","Yogur con nueces","Yogur griego con nueces","snack","mercadona",240,15,12,16,2,"[{""name"": ""Yogur griego"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Nueces"", ""quantity"": 25, ""unit"": ""g""}]","1. Servir yogur. 2. Añadir nueces picadas.","facil","barato","[""proteico"",""omega3"",""rapido""]",2,1
"snack-002","Tostadas de aguacate","Pan integral con aguacate","snack","lidl",280,6,32,14,6,"[{""name"": ""Pan integral"", ""quantity"": 2, ""unit"": ""rebanadas""}, {""name"": ""Aguacate"", ""quantity"": 0.5, ""unit"": ""unidad""}, {""name"": ""Sal"", ""quantity"": 1, ""unit"": ""pizca""}, {""name"": ""Aceite"", ""quantity"": 5, ""unit"": ""ml""}]","1. Tostar pan. 2. Aplastar aguacate y untar. 3. Añadir sal y aceite.","facil","medio","[""saludable"",""vegetariano"",""omega3""]",5,1
"snack-003","Frutos rojos con queso fresco","Queso fresco con frutos rojos","snack","carrefour",180,12,15,8,3,"[{""name"": ""Queso fresco"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Frutos rojos"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Miel"", ""quantity"": 5, ""unit"": ""g""}]","1. Servir queso fresco. 2. Añadir frutos rojos y miel.","facil","medio","[""proteico"",""saludable"",""frio""]",3,1
"snack-004","Batido de proteínas","Batido con leche y proteína","snack","generic",220,25,18,6,2,"[{""name"": ""Proteína en polvo"", ""quantity"": 25, ""unit"": ""g""}, {""name"": ""Leche"", ""quantity"": 250, ""unit"": ""ml""}, {""name"": ""Plátano"", ""quantity"": 0.5, ""unit"": ""unidad""}]","1. Mezclar todo en batidora. 2. Servir frío.","facil","medio","[""proteico"",""post_entreno"",""rapido""]",3,1
"snack-005","Almendras crudas","Almendras naturales","snack","mercadona",180,6,6,16,3,"[{""name"": ""Almendras"", ""quantity"": 30, ""unit"": ""g""}]","1. Consumir directamente.","facil","medio","[""saludable"",""omega3"",""rapido""]",1,1
"snack-006","Manzana con mantequilla de cacahuete","Manzana con mantequilla de cacahuete","snack","lidl",220,4,28,12,4,"[{""name"": ""Manzana"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Mantequilla de cacahuete"", ""quantity"": 20, ""unit"": ""g""}]","1. Cortar manzana en rodajas. 2. Untar mantequilla de cacahuete.","facil","medio","[""saludable"",""fibra"",""rapido""]",3,1
"snack-007","Tostadas de queso fresco y tomate","Pan con queso fresco y tomate","snack","mercadona",210,10,28,8,3,"[{""name"": ""Pan"", ""quantity"": 1, ""unit"": ""rebanada""}, {""name"": ""Queso fresco"", ""quantity"": 40, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 0.5, ""unit"": ""unidad""}, {""name"": ""Orégano"", ""quantity"": 1, ""unit"": ""pizca""}]","1. Tostar pan. 2. Untar queso. 3. Poner tomate y orégano.","facil","barato","[""proteico"",""vegetariano"",""rapido""]",3,1
"snack-008","Huevo cocido","Huevo cocido con sal","snack","generic",140,12,1,10,0,"[{""name"": ""Huevo"", ""quantity"": 2, ""unit"": ""unidades""}, {""name"": ""Sal"", ""quantity"": 1, ""unit"": ""pizca""}]","1. Cocer huevos 10 minutos. 2. Pelar y sazonar.","facil","barato","[""proteico"",""bajo_carbohidratos"",""sin_gluten""]",12,1
"snack-009","Zanahorias con hummus","Zanahorias crudas con hummus","snack","carrefour",160,6,18,8,5,"[{""name"": ""Zanahoria"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Hummus"", ""quantity"": 40, ""unit"": ""g""}]","1. Pelar y cortar zanahorias en bastones. 2. Servir con hummus.","facil","barato","[""vegano"",""saludable"",""fibras""]",5,1
"snack-010","Plátano y almendras","Plátano con almendras","snack","mercadona",220,5,32,10,4,"[{""name"": ""Plátano"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Almendras"", ""quantity"": 15, ""unit"": ""g""}]","1. Pelar plátano. 2. Comer con almendras.","facil","medio","[""saludable"",""energia"",""rapido""]",1,1
