id,name,description,meal_type,supermarket,calories,protein_g,carbs_g,fat_g,fiber_g,ingredients,instructions,difficulty,cost,tags,prep_time_min,servings
"dinner-001","Salmón al horno con espárragos","Filete de salmón con espárragos verdes","dinner","mercadona",480,35,12,32,4,"[{""name"": ""Salmón"", ""quantity"": 160, ""unit"": ""g""}, {""name"": ""Espárragos"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Limón"", ""quantity"": 0.5, ""unit"": ""unidad""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Eneldo"", ""quantity"": 1, ""unit"": ""cucharadita""}]","1. Colocar salmón en bandeja con espárragos. 2. Aliñar con aceite y limón. 3. Hornear 18 minutos a 200C.","facil","caro","[""pescado"",""omega3"",""saludable"",""bajo_carbohidratos""]",20,1
"dinner-002","Pollo asado con patatas","Muslos de pollo horneados con patatas","dinner","lidl",520,35,45,20,4,"[{""name"": ""Muslos de pollo"", ""quantity"": 200, ""unit"": ""g""}, {""name"": ""Patatas"", ""quantity"": 200, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Romero"", ""quantity"": 1, ""unit"": ""cucharadita""}]","1. Colocar pollo y patatas en bandeja. 2. Aliñar con aceite y romero. 3. Hornear 40 minutos.","facil","barato","[""horno"",""tradicional"",""caliente""]",45,1
"dinner-003","Ensalada de quinoa y pollo","Quinoa con pollo y verduras","dinner","carrefour",450,32,50,12,6,"[{""name"": ""Quinoa"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Pechuga de pollo"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Tomate cherry"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Pepino"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}]","1. Cocer quinoa. 2. Hacer pollo a la plancha. 3. Mezclar todo con verduras.","facil","medio","[""saludable"",""proteico"",""sin_gluten""]",25,1
"dinner-004","Merluza a la vasca","Merluza con espárragos y huevo","dinner","mercadona",380,32,8,22,4,"[{""name"": ""Merluza"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Espárragos"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Huevo"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Aceite"", ""quantity"": 20, ""unit"": ""ml""}, {""name"": ""Ajo"", ""quantity"": 1, ""unit"": ""diente""}]","1. Cocer merluza al vapor. 2. Saltear espárragos. 3. Servir con huevo pochado y aceite.","medio","medio","[""pescado"",""tradicional"",""mediterraneo""]",25,1
"dinner-005","Pollo al curry verde","Pechuga con curry verde y arroz","dinner","carrefour",540,34,52,22,3,"[{""name"": ""Pechuga de pollo"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Arroz"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Leche de coco"", ""quantity"": 100, ""unit"": ""ml""}, {""name"": ""Curry verde"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Pimiento"", ""quantity"": 50, ""unit"": ""g""}]","1. Cocer arroz. 2. Saltear pollo con curry verde. 3. Añadir leche de coco y servir con arroz.","medio","medio","[""indio"",""exótico"",""picante""]",30,1
"dinner-006","Revuelto de espárragos y gambas","Huevos revueltos con espárragos y gambas","dinner","mercadona",420,28,6,30,4,"[{""name"": ""Huevos"", ""quantity"": 3, ""unit"": ""unidades""}, {""name"": ""Espárragos"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Gambas"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Ajo"", ""quantity"": 1, ""unit"": ""diente""}]","1. Saltear espárragos y gambas con ajo. 2. Añadir huevos batidos. 3. Cuajar a fuego lento.","facil","medio","[""marisco"",""proteico"",""bajo_carbohidratos""]",15,1
"dinner-007","Lasaña de verduras","Lasaña con verduras y bechamel","dinner","lidl",480,18,48,26,6,"[{""name"": ""Placas de lasaña"", ""quantity"": 70, ""unit"": ""g""}, {""name"": ""Calabacín"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Espinacas"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Bechamel"", ""quantity"": 100, ""unit"": ""ml""}, {""name"": ""Queso"", ""quantity"": 40, ""unit"": ""g""}]","1. Saltear verduras. 2. Montar capas de lasaña. 3. Hornear 25 minutos.","dificil","medio","[""vegetariano"",""horno"",""verduras""]",45,1
"dinner-008","Bacalao dorado","Bacalao con tomate y cebolla","dinner","mercadona",380,34,12,18,3,"[{""name"": ""Bacalao"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Cebolla"", ""quantity"": 60, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 20, ""unit"": ""ml""}, {""name"": ""Ajo"", ""quantity"": 1, ""unit"": ""diente""}]","1. Sofreír cebolla y ajo. 2. Añadir tomate. 3. Cocinar bacalao 10 minutos.","medio","medio","[""pescado"",""tradicional"",""mediterraneo""]",25,1
"dinner-009","Pechuga con champiñones y queso","Pechuga gratinada con champiñones","dinner","carrefour",450,40,8,26,3,"[{""name"": ""Pechuga de pollo"", ""quantity"": 180, ""unit"": ""g""}, {""name"": ""Champiñones"", ""quantity"": 120, ""unit"": ""g""}, {""name"": ""Queso"", ""quantity"": 40, ""unit"": ""g""}, {""name"": ""Nata"", ""quantity"": 40, ""unit"": ""ml""}, {""name"": ""Cebolla"", ""quantity"": 30, ""unit"": ""g""}]","1. Dorar pechuga. 2. Saltear champiñones con cebolla y nata. 3. Gratinr con queso.","medio","medio","[""proteico"",""gratinado"",""crema""]",25,1
"dinner-010","Crema de verduras","Crema de verduras variadas","dinner","generic",220,8,32,8,6,"[{""name"": ""Calabacín"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Zanahoria"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Puerro"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Patata"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Caldo"", ""quantity"": 500, ""unit"": ""ml""}]","1. Cocer todas las verduras en caldo. 2. Triturar hasta cremar. 3. Servir caliente.","facil","barato","[""crema"",""vegano"",""saludable"",""bajo_calorias""]",25,1
