id,name,description,meal_type,supermarket,calories,protein_g,carbs_g,fat_g,fiber_g,ingredients,instructions,difficulty,cost,tags,prep_time_min,servings
"bfast-001","Tostadas de aguacate y huevo","Tostadas integrales con aguacate triturado y huevo pochado","breakfast","mercadona",320,18,28,16,6,"[{""name"": ""Pan integral"", ""quantity"": 2, ""unit"": ""rebanadas""}, {""name"": ""Aguacate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Huevo"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Sal"", ""quantity"": 1, ""unit"": ""pizca""}, {""name"": ""Pimienta negra"", ""quantity"": 1, ""unit"": ""pizca""}, {""name"": ""Aceite de oliva"", ""quantity"": 5, ""unit"": ""ml""}]","1. Tostar el pan integral. 2. Triturar el aguacate con sal y pimienta. 3. Pochar el huevo en agua hirviendo con vinagre. 4. Untar el aguacate en el pan y colocar el huevo encima. 5. Añadir un chorrito de aceite de oliva.","facil","medio","[""vegetariano"",""saludable"",""rapido""]",10,1
"bfast-002","Bowl de yogur con frutos rojos","Yogur griego natural con mezcla de frutos rojos y miel","breakfast","lidl",245,20,32,8,3,"[{""name"": ""Yogur griego natural"", ""quantity"": 200, ""unit"": ""g""}, {""name"": ""Frutos rojos"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Miel"", ""quantity"": 15, ""unit"": ""g""}, {""name"": ""Semillas de chía"", ""quantity"": 10, ""unit"": ""g""}]","1. Colocar el yogur en un bol. 2. Añadir los frutos rojos lavados. 3. Espolvorear semillas de chía. 4. Añadir miel al gusto.","facil","barato","[""vegetariano"",""rapido"",""sin gluten""]",5,1
"bfast-003","Tortilla francesa con espinacas","Tortilla de huevos con espinacas frescas salteadas","breakfast","carrefour",280,16,4,22,2,"[{""name"": ""Huevos"", ""quantity"": 3, ""unit"": ""unidades""}, {""name"": ""Espinacas frescas"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Aceite de oliva"", ""quantity"": 10, ""unit"": ""ml""}, {""name"": ""Sal"", ""quantity"": 1, ""unit"": ""pizca""}]","1. Saltear las espinacas en una sartén con un poco de aceite. 2. Batir los huevos con sal. 3. Añadir las espinacas a los huevos. 4. Cocinar la tortilla a fuego medio.","facil","barato","[""vegetariano"",""bajo_carbohidratos"",""sin_gluten""]",8,1
"bfast-004","Porridge de avena con plátano","Gachas de avena con leche y plátano","breakfast","mercadona",350,12,58,9,6,"[{""name"": ""Copos de avena"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Leche semidesnatada"", ""quantity"": 250, ""unit"": ""ml""}, {""name"": ""Plátano"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Canela"", ""quantity"": 1, ""unit"": ""cucharadita""}]","1. Calentar la leche en un cazo. 2. Añadir los copos de avena y cocinar removiendo durante 5 minutos. 3. Servir con el plátano en rodajas y canela.","facil","barato","[""vegetariano"",""energia""]",8,1
"bfast-005","Beceruelos con leche","Cereales integrales con leche semidesnatada","breakfast","mercadona",295,10,55,5,4,"[{""name"": ""Cereales integrales"", ""quantity"": 45, ""unit"": ""g""}, {""name"": ""Leche semidesnatada"", ""quantity"": 250, ""unit"": ""ml""}]","1. Verter los cereales en un bol. 2. Añadir la leche fría.","facil","barato","[""rapido"",""vegetariano""]",3,1
"bfast-006","Smoothie verde detox","Batido de espinacas, plátano y manzana verde","breakfast","lidl",210,6,42,4,5,"[{""name"": ""Espinacas frescas"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Plátano"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Manzana verde"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Agua"", ""quantity"": 200, ""unit"": ""ml""}, {""name"": ""Jugo de limón"", ""quantity"": 1, ""unit"": ""cucharada""}]","1. Lavar las espinacas y la manzana. 2. Pelar el plátano. 3. Licuar todo junto con el agua y el jugo de limón.","facil","medio","[""vegano"",""detox"",""saludable""]",5,1
"bfast-007","Tostadas de tomate y aceite","Pan tostado con tomate rallado y aceite de oliva virgen extra","breakfast","carrefour",290,8,40,12,3,"[{""name"": ""Pan de pueblo"", ""quantity"": 2, ""unit"": ""rebanadas""}, {""name"": ""Tomate"", ""quantity"": 2, ""unit"": ""unidades""}, {""name"": ""Aceite de oliva virgen"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Sal"", ""quantity"": 1, ""unit"": ""pizca""}]","1. Tostar el pan. 2. Rallar los tomates y sazonar con sal. 3. Untar el tomate en el pan tostado. 4. Añadir aceite de oliva virgen.","facil","barato","[""vegano"",""tradicional"",""mediterraneo""]",5,1
"bfast-008","Huevos revueltos con jamón","Huevos revueltos con jamón serrano","breakfast","mercadona",320,22,2,24,0,"[{""name"": ""Huevos"", ""quantity"": 3, ""unit"": ""unidades""}, {""name"": ""Jamón serrano"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Aceite de oliva"", ""quantity"": 10, ""unit"": ""ml""}, {""name"": ""Sal"", ""quantity"": 1, ""unit"": ""pizca""}]","1. Batir los huevos con sal. 2. Calentar el aceite en una sartén. 3. Cocinar los huevos a fuego lento removiendo. 4. Añadir el jamón picado al final.","facil","medio","[""proteico"",""bajo_carbohidratos"",""sin_gluten""]",7,1
"bfast-009","Tostas de salmón ahumado","Tostadas con salmón ahumado y queso crema","breakfast","mercadona",340,18,32,16,2,"[{""name"": ""Pan integral"", ""quantity"": 2, ""unit"": ""rebanadas""}, {""name"": ""Salmón ahumado"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Queso crema light"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Eneldo"", ""quantity"": 1, ""unit"": ""cucharadita""}, {""name"": ""Pimienta negra"", ""quantity"": 1, ""unit"": ""pizca""}]","1. Tostar el pan integral. 2. Untar el queso crema. 3. Colocar el salmón ahumado encima. 4. Espolvorear con eneldo y pimienta.","facil","caro","[""omega3"",""proteico"",""saludable""]",5,1
"bfast-010","Bowl de açaí","Bowl de açaí con granola y frutas","breakfast","carrefour",380,8,62,12,5,"[{""name"": ""Pulpa de açaí"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Plátano"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Granola"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Arándanos"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Miel"", ""quantity"": 10, ""unit"": ""g""}]","1. Licuar el açaí con medio plátano. 2. Servir en un bol. 3. Decorar con rodajas de plátano, arándanos y granola. 4. Añadir miel.","medio","caro","[""vegetariano"",""antioxidante"",""energia""]",10,1
