id,name,description,meal_type,supermarket,calories,protein_g,carbs_g,fat_g,fiber_g,ingredients,instructions,difficulty,cost,tags,prep_time_min,servings
"lunch-001","Ensalada César con pollo","Lechuga romana con pollo a la plancha y salsa César","lunch","mercadona",450,35,15,28,4,"[{""name"": ""Pechuga de pollo"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Lechuga romana"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Parmesano"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Crutones"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Salsa César"", ""quantity"": 30, ""unit"": ""ml""}]","1. Hacer pollo a la plancha y cortar en tiras. 2. Lavar y cortar lechuga. 3. Mezclar con salsa, queso y crutones.","facil","medio","[""proteico"",""fresco"",""clásico""]",15,1
"lunch-002","Pasta carbonara","Pasta con salsa de huevo, queso y bacon","lunch","lidl",650,25,70,30,3,"[{""name"": ""Pasta"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Bacon"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Huevo"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Queso parmesano"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Pimienta negra"", ""quantity"": 1, ""unit"": ""cucharadita""}]","1. Cocer pasta. 2. Freír bacon. 3. Mezclar huevo con queso. 4. Combinar todo fuera del fuego.","medio","medio","[""italiano"",""clásico"",""calorias""]",20,1
"lunch-003","Pollo al curry","Pechuga de pollo en salsa de curry con arroz","lunch","carrefour",520,38,50,16,4,"[{""name"": ""Pechuga de pollo"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Arroz"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Leche de coco"", ""quantity"": 100, ""unit"": ""ml""}, {""name"": ""Curry"", ""quantity"": 2, ""unit"": ""cucharaditas""}, {""name"": ""Cebolla"", ""quantity"": 50, ""unit"": ""g""}]","1. Cocer arroz. 2. Saltear pollo y cebolla. 3. Añadir leche de coco y curry. 4. Servir sobre arroz.","medio","medio","[""indio"",""proteico"",""exótico""]",25,1
"lunch-004","Ensalada griega","Ensalada con queso feta, aceitunas y pepino","lunch","mercadona",280,12,18,20,5,"[{""name"": ""Lechuga"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Pepino"", ""quantity"": 0.5, ""unit"": ""unidad""}, {""name"": ""Queso feta"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Aceitunas"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Aceite de oliva"", ""quantity"": 15, ""unit"": ""ml""}]","1. Cortar verduras. 2. Añadir queso feta y aceitunas. 3. Aliñar con aceite y orégano.","facil","medio","[""mediterraneo"",""vegetariano"",""fresco""]",10,1
"lunch-005","Lasaña de carne","Lasaña con carne y salsa bechamel","lunch","lidl",720,32,60,38,4,"[{""name"": ""Placas de lasaña"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Carne picada"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Tomate frito"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Bechamel"", ""quantity"": 100, ""unit"": ""ml""}, {""name"": ""Queso rallado"", ""quantity"": 40, ""unit"": ""g""}]","1. Preparar salsa de carne. 2. Montar capas. 3. Hornear 25 minutos.","dificil","medio","[""italiano"",""horno"",""caliente""]",45,1
"lunch-006","Salmón a la plancha con verduras","Filete de salmón con espárragos y patatas","lunch","mercadona",520,35,30,30,6,"[{""name"": ""Salmón"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Espárragos"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Patatas"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 15, ""unit"": ""ml""}, {""name"": ""Limón"", ""quantity"": 0.5, ""unit"": ""unidad""}]","1. Cocinar salmón a la plancha. 2. Saltear espárragos. 3. Hervir patatas. 4. Servir con limón.","facil","caro","[""omega3"",""saludable"",""proteico""]",20,1
"lunch-007","Tacos de pollo","Tortillas mexicanas con pollo y guacamole","lunch","carrefour",480,28,42,22,6,"[{""name"": ""Tortillas"", ""quantity"": 3, ""unit"": ""unidades""}, {""name"": ""Pechuga de pollo"", ""quantity"": 120, ""unit"": ""g""}, {""name"": ""Aguacate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Tomate"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Cebolla"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Limón"", ""quantity"": 0.5, ""unit"": ""unidad""}]","1. Cocinar pollo con especias. 2. Hacer guacamole. 3. Montar tacos.","medio","medio","[""mexicano"",""picante"",""fresco""]",25,1
"lunch-008","Arroz con pollo","Arroz con pollo y verduras","lunch","mercadona",520,30,65,12,4,"[{""name"": ""Arroz"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Pechuga de pollo"", ""quantity"": 120, ""unit"": ""g""}, {""name"": ""Guisantes"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Pimiento"", ""quantity"": 0.5, ""unit"": ""unidad""}, {""name"": ""Ajo"", ""quantity"": 1, ""unit"": ""diente""}]","1. Dorar pollo. 2. Añadir verduras y arroz. 3. Cocer con caldo.","facil","barato","[""tradicional"",""completo"",""casero""]",30,1
"lunch-009","Ensalada de atún","Ensalada con atún, huevo y maíz","lunch","lidl",320,24,20,16,4,"[{""name"": ""Atún en aceite"", ""quantity"": 80, ""unit"": ""g""}, {""name"": ""Lechuga"", ""quantity"": 100, ""unit"": ""g""}, {""name"": ""Huevo cocido"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Maíz"", ""quantity"": 50, ""unit"": ""g""}, {""name"": ""Aceite"", ""quantity"": 10, ""unit"": ""ml""}]","1. Cocer huevo. 2. Mezclar todo en bol. 3. Aliñar.","facil","barato","[""rapido"",""proteico"",""fresco""]",10,1
"lunch-010","Hamburguesa casera","Hamburguesa de ternera con lechuga y tomate","lunch","carrefour",550,32,40,28,3,"[{""name"": ""Carne de hamburguesa"", ""quantity"": 150, ""unit"": ""g""}, {""name"": ""Pan de hamburguesa"", ""quantity"": 1, ""unit"": ""unidad""}, {""name"": ""Lechuga"", ""quantity"": 30, ""unit"": ""g""}, {""name"": ""Tomate"", ""quantity"": 0.5, ""unit"": ""unidad""}, {""name"": ""Queso"", ""quantity"": 20, ""unit"": ""g""}, {""name"": ""Salsa"", ""quantity"": 15, ""unit"": ""ml""}]","1. Hacer hamburguesa a la plancha. 2. Tostar pan. 3. Montar con verduras y queso.","facil","medio","[""americano"",""calorias"",""clásico""]",15,1
